"","X","ID","DATE","DAY","MONTH","YEAR","TIME","LAT","LONG","ROWID","testDate","Season"
"166",860,"X12080","5-06-94",6,"May",1994,"21:57",57.25,-58.9,888,"1994-05-06","break"
"167",861,"X12092","5-06-94",6,"May",1994,"21:55",59.883,-65.833,889,"1994-05-06","break"
"168",862,"X10393","5-07-94",7,"May",1994,"9:03",55.15,-56.6,890,"1994-05-07","break"
"169",863,"X13284","5-07-94",7,"May",1994,".",63.894,-61.181,891,"1994-05-07","break"
"170",864,"X13437","5-07-94",7,"May",1994,".",64.043,-60.548,892,"1994-05-07","break"
"171",865,"X10700","5-07-94",7,"May",1994,"18:59",64.533,-61.333,893,"1994-05-07","break"
"172",866,"X13292","5-08-94",8,"May",1994,".",60.901,-61.557,894,"1994-05-08","break"
"173",867,"X13289","5-08-94",8,"May",1994,".",61.845,-64.249,895,"1994-05-08","break"
"174",868,"X10703","5-08-94",8,"May",1994,"17:07",62.983,-63.883,896,"1994-05-08","break"
"175",869,"X12082","5-09-94",9,"May",1994,"19:14",55.95,-58.083,897,"1994-05-09","break"
"176",870,"X11974","5-09-94",9,"May",1994,"11:00",57.517,-61.667,898,"1994-05-09","break"
"177",871,"X03956","5-10-94",10,"May",1994,"13:58",58.367,-62.55,899,"1994-05-10","break"
"178",872,"X11975","5-10-94",10,"May",1994,"21:44",58.583,-62.9,900,"1994-05-10","break"
"179",873,"X10374","5-10-94",10,"May",1994,"23:52",61.267,-64.65,901,"1994-05-10","break"
"180",874,"X12080","5-11-94",11,"May",1994,"21:35",57.867,-59.4,902,"1994-05-11","break"
"181",875,"X12092","5-11-94",11,"May",1994,"21:30",60.617,-65.733,903,"1994-05-11","break"
"182",876,"X10709","5-11-94",11,"May",1994,"1:34",64.517,-65.283,904,"1994-05-11","break"
"183",877,"X13428","5-11-94",11,"May",1994,".",65.977,-62.064,905,"1994-05-11","break"
"184",878,"X10700","5-12-94",12,"May",1994,"21:20",64.633,-61.533,906,"1994-05-12","break"
"185",879,"X10703","5-13-94",13,"May",1994,"17:50",63.3,-63.383,907,"1994-05-13","break"
"186",880,"X12082","5-14-94",14,"May",1994,"19:08",56.633,-57.25,908,"1994-05-14","break"
"187",881,"X11974","5-14-94",14,"May",1994,"14:15",57.567,-61.633,909,"1994-05-14","break"
"188",882,"X12086","5-14-94",14,"May",1994,"22:23",58.55,-62.8,910,"1994-05-14","break"
"189",883,"X13289","5-14-94",14,"May",1994,".",62.783,-62.235,911,"1994-05-14","break"
