field_1,ID,DATE,DAY,MONTH,YEAR,TIME,LAT,LONG,ROWID,ICE_LAND
"547",X10700,9-29-93,"29",September,"1993",20:18,66.566999999999993,-61.383000000000003,"573",
"548",X10703,9-30-93,"30",September,"1993",15:24,64.500000000000000,-65.117000000000004,"574",
"550",X10709,10-01-93,"1",October,"1993",15:00,64.549999999999997,-65.849999999999994,"576",
"551",X13292,10-04-93,"4",October,"1993",".",64.897000000000006,-63.569000000000003,"577",
"552",X10700,10-04-93,"4",October,"1993",19:18,66.566999999999993,-61.433000000000000,"579",
"553",X10709,10-06-93,"6",October,"1993",12:15,64.566999999999993,-65.766999999999996,"580",
"554",X13428,10-07-93,"7",October,"1993",".",66.433000000000007,-61.874000000000002,"582",
"556",X10700,10-09-93,"9",October,"1993",18:16,66.566999999999993,-61.399999999999999,"584",
"557",X13292,10-10-93,"10",October,"1993",".",64.897000000000006,-63.569000000000003,"585",
"558",X13289,10-10-93,"10",October,"1993",".",65.090999999999994,-63.722999999999999,"586",
"559",X13437,10-13-93,"13",October,"1993",".",66.409000000000006,-61.789000000000001,"587",
"560",X13428,10-13-93,"13",October,"1993",".",66.415000000000006,-62.229999999999997,"588",
"561",X10703,10-15-93,"15",October,"1993",14:58,64.617000000000004,-65.417000000000002,"589",
"562",X10709,10-16-93,"16",October,"1993",16:53,64.516999999999996,-65.832999999999998,"590",
"563",X13292,10-16-93,"16",October,"1993",".",64.897000000000006,-63.569000000000003,"591",
"564",X13289,10-16-93,"16",October,"1993",".",65.090999999999994,-63.722999999999999,"592",
"565",X10707,10-16-93,"16",October,"1993",11:56,65.516999999999996,-64.582999999999998,"593",
"568",X13428,10-19-93,"19",October,"1993",".",66.438999999999993,-61.901000000000003,"596",
"569",X10700,10-19-93,"19",October,"1993",19:37,66.582999999999998,-61.366999999999997,"597",
"570",X13292,10-22-93,"22",October,"1993",".",64.897000000000006,-63.569000000000003,"598",
"571",X13289,10-22-93,"22",October,"1993",".",65.090999999999994,-63.722999999999999,"599",
"573",X13428,10-25-93,"25",October,"1993",".",66.403999999999996,-61.984999999999999,"601",
"574",X13292,10-28-93,"28",October,"1993",".",64.968999999999994,-63.374000000000002,"602",
"575",X10709,10-31-93,"31",October,"1993",14:19,64.500000000000000,-65.816999999999993,"603",
"581",X10703,11-04-93,"4",November,"1993",18:01,64.450000000000003,-65.417000000000002,"609",
"587",X10707,11-10-93,"10",November,"1993",14:00,65.516999999999996,-64.632999999999996,"617",
"604",X10709,11-25-93,"25",November,"1993",13:38,64.483000000000004,-65.000000000000000,"634",
"616",X10703,12-14-93,"14",December,"1993",16:43,64.233000000000004,-64.599999999999994,"646",
"641",X10703,1-08-94,"8",January,"1994",14:29,61.450000000000003,-64.700000000000003,"671",
"729",X10709,3-22-94,"22",March,"1994",1:14,64.500000000000000,-65.417000000000002,"763",
"839",X13428,4-29-94,"29",April,"1994",".",63.292999999999999,-64.051000000000002,"878",
"874",X13428,5-11-94,"11",May,"1994",".",65.977000000000004,-62.064000000000000,"913",
"935",X10709,6-05-94,"5",June,"1994",0:54,64.367000000000004,-64.766999999999996,"974",
"1017",X12092,8-04-94,"4",August,"1994",19:09,60.350000000000001,-64.533000000000001,"1057",
"1023",X13289,8-12-94,"12",August,"1994",".",63.767000000000003,-64.442999999999998,"1063",
"1025",X12092,8-14-94,"14",August,"1994",20:54,60.399999999999999,-64.533000000000001,"1065",
"1027",X13289,8-18-94,"18",August,"1994",".",63.845999999999997,-64.376999999999995,"1067",
"1031",X12092,8-24-94,"24",August,"1994",20:37,60.366999999999997,-64.566999999999993,"1071",
"1036",X13428,9-02-94,"2",September,"1994",".",66.474000000000004,-62.167000000000002,"1076",
"1038",X13289,9-05-94,"5",September,"1994",".",64.090999999999994,-64.510999999999996,"1078",
"1039",X13292,9-05-94,"5",September,"1994",".",64.655000000000001,-65.247000000000000,"1079",
"1041",X12092,9-08-94,"8",September,"1994",20:24,60.383000000000003,-64.533000000000001,"1081",
"1042",X13428,9-08-94,"8",September,"1994",".",66.474000000000004,-62.167000000000002,"1082",
"1043",X13746,9-08-94,"8",September,"1994",".",67.253000000000000,-63.170000000000002,"1083",
"1045",X13746,9-10-94,"10",September,"1994",".",67.260000000000005,-63.122999999999998,"1085",
"1046",X13289,9-11-94,"11",September,"1994",".",64.108999999999995,-64.540000000000006,"1086",
"1047",X13746,9-11-94,"11",September,"1994",".",67.257000000000005,-63.192000000000000,"1087",
"1049",X13746,9-12-94,"12",September,"1994",".",67.156000000000006,-63.545999999999999,"1089",
"1051",X13746,9-13-94,"13",September,"1994",".",67.159999999999997,-63.601999999999997,"1091",
"1052",X10700,9-14-94,"14",September,"1994",20:55,66.766999999999996,-61.817000000000000,"1092",
"1053",X13746,9-14-94,"14",September,"1994",".",67.116000000000000,-63.643999999999998,"1093",
"1054",X13746,9-15-94,"15",September,"1994",".",67.120999999999995,-63.720999999999997,"1094",
"1055",X13746,9-16-94,"16",September,"1994",".",67.159999999999997,-63.680999999999997,"1095",
"1056",X13292,9-17-94,"17",September,"1994",".",64.655000000000001,-65.247000000000000,"1096",
