"","ID","DATE","DAY","MONTH","YEAR","TIME","LAT","LONG","ROWID","ICE_LAND","SEASON","ANGLE","DIST_KM","DIFF_DATE","KM_PER_DAY","KM_PER_HR","M_PER_HR","M_PER_S"
"611","X13428","1994-04-05",5,"April",1994,".",61.722,-57.5,799,"ice","winter",16.5584466901948,205.243303222053,6,34.2072172036756,1.42530071681982,1425.30071681982,0.395916865783282
"612","X13428","1994-03-30",30,"March",1994,".",62.681,-58.548,783,"ice","winter",-26.5427789941255,119.601751700529,6,19.9336252834215,0.830567720142561,830.567720142561,0.230713255595156
"613","X13428","1994-03-24",24,"March",1994,".",62.969,-61.403,768,"ice","winter",-76.2773096288665,148.368853666394,6,24.7281422777324,1.03033926157218,1030.33926157218,0.286205350436718
"614","X13428","1994-03-18",18,"March",1994,".",63.544,-61.334,753,"ice","winter",3.06015374387466,63.987078439923,6,10.6645130733205,0.444354711388354,444.354711388354,0.123431864274543
"615","X13428","1994-03-12",12,"March",1994,".",63.888,-61.586,741,"ice","winter",-17.8597271757453,40.1861303343702,6,6.69768838906171,0.279070349544238,279.070349544238,0.077519541540066
"616","X13428","1994-03-06",6,"March",1994,".",63.882,-61.77,732,"ice","winter",-94.1541968375494,9.02449688805967,6,1.50408281467661,0.0626701172781922,62.6701172781922,0.0174083659106089
"617","X13428","1994-02-22",22,"February",1994,".",64.676,-57.174,721,"ice","freeze",66.234039793061,238.48916777515,12,19.8740973145958,0.828087388108159,828.087388108159,0.230024274474489
"618","X13428","1994-02-16",16,"February",1994,".",64.613,-55.856,714,"ice","freeze",95.7732281017947,63.1057474962806,6,10.5176245827134,0.43823435761306,438.23435761306,0.121731766003628
"619","X13428","1994-02-10",10,"February",1994,".",64.211,-56.928,706,"ice","freeze",-130.482246714038,68.1329132563654,6,11.3554855427276,0.473145230946982,473.145230946982,0.131429230818606
"620","X13428","1994-02-04",4,"February",1994,".",64.934,-56.325,701,"ice","freeze",19.430645645249,85.3347936890773,6,14.2224656148462,0.592602733951926,592.602733951926,0.164611870542202
"621","X13428","1994-01-29",29,"January",1994,".",65.006,-55.376,693,"ice","freeze",79.4040122780097,45.3275585790711,6,7.55459309651184,0.31477471235466,314.77471235466,0.0874374200985167
"622","X13428","1994-01-23",23,"January",1994,".",65.1,-55.503,691,"ice","freeze",-29.6191479450932,12.022192146019,6,2.00369869100317,0.0834874454584654,83.4874454584654,0.023190957071796
"623","X13428","1994-01-17",17,"January",1994,".",65.86,-58.26,682,"ice","freeze",-55.1578006503365,152.6132827573,6,25.4355471262166,1.05981446359236,1059.81446359236,0.294392906553433
"624","X13428","1994-01-11",11,"January",1994,".",67.003,-57.535,674,"ice","freeze",13.8994211249705,131.029104436974,6,21.838184072829,0.909924336367877,909.924336367877,0.252756760102188
"625","X10700","1993-12-28",28,"December",1993,"20:25",63.467,-59.017,659,"ice","freeze",-136.477945982697,68.4770101333372,5,13.6954020266674,0.570641751111144,570.641751111144,0.158511597530873
"626","X10700","1993-12-23",23,"December",1993,"19:46",63.533,-59.667,654,"ice","freeze",-76.8891571349154,33.0517529665622,5,6.61035059331244,0.275431274721352,275.431274721352,0.0765086874225977
"627","X10700","1993-12-18",18,"December",1993,"20:16",64.167,-60,649,"ice","freeze",-12.8841154807325,72.3127165257184,5,14.4625433051437,0.602605971047653,602.605971047653,0.167390547513237
"628","X10700","1993-11-23",23,"November",1993,"20:54",64.767,-61.25,631,"ice","freeze",-41.360523700683,89.6047762356033,25,3.58419104942413,0.149341293726005,149.341293726005,0.0414836927016682
"629","X10700","1993-11-18",18,"November",1993,"19:22",64.883,-60.05,626,"ice","freeze",76.6546649071944,58.1676504333222,5,11.6335300866644,0.484730420277685,484.730420277685,0.134647338966024
"630","X10700","1993-11-13",13,"November",1993,"19:32",65.95,-59.617,620,"ice","freeze",9.38589347321592,120.242085916275,5,24.048417183255,1.00201738263562,1002.01738263562,0.278338161843229
"631","X10700","1993-11-08",8,"November",1993,"16:22",66.133,-61.233,612,"ice","freeze",-73.6803428199881,75.6987347292689,5,15.1397469458538,0.630822789410575,630.822789410575,0.175228552614048
"632","X10700","1993-11-03",3,"November",1993,"18:15",66.75,-61.417,608,"ice","freeze",-6.71289234774622,69.0462659301527,5,13.8092531860305,0.575385549417939,575.385549417939,0.159829319282761
"633","X10700","1993-10-19",19,"October",1993,"19:37",66.583,-61.367,597,"land","summer",173.214059947364,18.6870667758554,15,1.24580445172369,0.0519085188218206,51.9085188218206,0.0144190330060613
"634","X10700","1993-10-09",9,"October",1993,"18:16",66.567,-61.4,584,"land","summer",-140.635046683694,2.299165445965,10,0.2299165445965,0.00957985602485415,9.57985602485415,0.00266107111801504
"635","X10700","1993-10-04",4,"October",1993,"19:18",66.567,-61.433,579,"land","summer",-89.984860825342,1.45826348528311,5,0.291652697056622,0.0121521957106926,12.1521957106926,0.00337560991963682
"636","X10700","1993-09-29",29,"September",1993,"20:18",66.567,-61.383,573,"land","summer",89.9770618564635,2.2094900944731,5,0.441898018894619,0.0184124174539425,18.4124174539425,0.00511456040387291
