"","ROWID_2","ID","ROWID","DATE","DAY","MONTH","YEAR","TIME","SEASON","LONG","LAT","USED_AVAIL","ZONE","EASTING","NORTHING","ANGLE","DIST_KM","DIFF_DATE","KM_PER_DAY","KM_PER_HR","M_PER_HR","M_PER_S","date_char","distance","lon","lat"
"distance...61",23419,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-61.8955342307363,58.348148368581,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",283729.036891319,-57.1237382477894,58.8909592797079
"distance...62",23420,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-61.7362451469812,58.7995893948756,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",260782.960208371,-57.3005388789981,59.3112032949558
"distance...63",23421,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-61.7032245855422,58.3497996432879,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",272781.591533912,-57.1237382477894,58.8909592797079
"distance...64",23422,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-61.6749016216572,58.3952340834497,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",269931.315628474,-57.1237382477894,58.8909592797079
"distance...65",23423,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-61.5458089426696,58.15621218111,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",269838.920309789,-57.0372023203657,58.681043405113
"distance...66",23424,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-61.5397993983393,58.3056547270176,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",264857.43887283,-57.1237382477894,58.8909592797079
"distance...67",23425,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-61.5007784363237,58.1368530094543,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",267820.878489715,-57.0372023203657,58.681043405113
"distance...68",23426,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-61.4837370409476,58.6564262676279,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",251291.350267,-57.211508376476,59.1010134977355
"distance...69",23427,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-61.4657411362694,58.3358964831295,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",259761.678561295,-57.1237382477894,58.8909592797079
"distance...70",23428,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-61.4579763616417,58.3264036479405,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",259610.586659561,-57.1237382477894,58.8909592797079
