"","distance","lon","lat"
"distance...76",244284.947201763,-57.3005388789981,59.3112032949558
"distance...77",243210.646782257,-57.211508376476,59.1010134977355
"distance...78",266131.807977683,-56.8677318975661,58.2616374867023
"distance...79",274316.598473008,-56.8677318975661,58.2616374867023
"distance...80",262494.107208384,-56.8677318975661,58.2616374867023
"distance...81",241909.637727497,-57.1237382477894,58.8909592797079
"distance...82",230514.38695414,-57.3005388789981,59.3112032949558
"distance...83",232147.147408224,-57.211508376476,59.1010134977355
"distance...84",248174.005119003,-57.0372023203657,58.681043405113
"distance...85",244104.991725007,-57.0372023203657,58.681043405113
"distance...86",261181.658120044,-56.8677318975661,58.2616374867023
"distance...87",237551.760728004,-57.1237382477894,58.8909592797079
"distance...88",249787.31715704,-56.9518751300248,58.4712685866026
"distance...89",251654.01748371,-56.8677318975661,58.2616374867023
"distance...90",226101.720704105,-57.211508376476,59.1010134977355
"distance...91",251646.373712647,-56.8677318975661,58.2616374867023
"distance...92",243328.603052072,-56.9518751300248,58.4712685866026
"distance...93",223892.341043035,-57.211508376476,59.1010134977355
"distance...94",230787.618182127,-57.1237382477894,58.8909592797079
"distance...95",248633.939674342,-56.8677318975661,58.2616374867023
"distance...96",232719.626091438,-57.1237382477894,58.8909592797079
"distance...97",240751.413622841,-56.9518751300248,58.4712685866026
"distance...98",246028.532507281,-56.8677318975661,58.2616374867023
"distance...99",247511.183020426,-56.8677318975661,58.2616374867023
"distance...100",222251.817586786,-57.211508376476,59.1010134977355
"distance...101",225629.747223942,-57.0372023203657,58.681043405113
"distance...102",222162.183123265,-56.9518751300248,58.4712685866026
"distance...103",256575.101466559,-53.6637314829503,50.6727399233401
"distance...104",266239.838466217,-53.3246289771819,50.8084350306117
"distance...105",262194.556624527,-52.2142620392068,54.3920973095369
"distance...106",249767.485889587,-52.2142620392068,54.3920973095369
"distance...107",249084.456574772,-52.2142620392068,54.3920973095369
"distance...108",254745.069289472,-52.2142620392068,54.3920973095369
"distance...109",253130.168636467,-52.2142620392068,54.3920973095369
"distance...110",218574.194008278,-53.5825168603295,50.7054003852494
"distance...111",251699.559543484,-53.2884623539218,50.8228029979612
"distance...112",259752.186769386,-52.2142620392068,54.3920973095369
"distance...113",230810.79567621,-53.078344663164,54.961348723475
"distance...114",251038.774187033,-52.2142620392068,54.3920973095369
"distance...115",216389.475335661,-53.4900247837351,50.7424718671996
"distance...116",210229.350712668,-53.5271857851224,50.7275933481864
"distance...117",212307.485171597,-53.5097990053829,50.7345573182714
"distance...118",237567.982693119,-53.3067481036651,50.8155410989213
"distance...119",209726.386941014,-53.5216487981903,50.7298115976722
"distance...120",228423.288073225,-52.2142620392068,54.3920973095369
"distance...121",218915.018407107,-53.397426454558,50.7794537825414
"distance...122",210494.728868861,-53.4452855419371,50.7603563106148
"distance...123",241323.03803937,-52.2142620392068,54.3920973095369
"distance...124",196159.176658334,-53.5096330994605,50.7346237465116
"distance...125",202300.119210632,-53.4507539597752,50.7581719734463
"distance...126",228150.759324306,-53.2091764062034,50.8542309087049
"distance...127",240950.442255593,-53.0963140258605,50.8988022942124
"distance...128",233411.83745894,-53.1097063855672,50.893523576127
"distance...129",191014.034834202,-53.438108984581,50.7632222583493
"distance...130",218984.1014096,-52.2142620392068,54.3920973095369
"distance...131",201972.124245144,-53.3448465900814,50.8003944042793
"distance...132",239133.644328344,-53.0422848830145,50.9200706100218
"distance...133",185291.699768838,-53.4443950371364,50.7607119755128
"distance...134",230087.510821145,-53.0668743926775,50.9103965791138
"distance...135",224623.788578022,-53.1007793186741,50.8970425630756
"distance...136",240681.176979778,-51.7721599661136,54.0013076573054
"distance...137",184714.752398174,-53.3510465395647,50.7979274019796
"distance...138",183427.986666269,-53.3573283120325,50.7954272396549
"distance...139",213240.402659422,-52.2142620392068,54.3920973095369
"distance...140",231596.786352929,-52.911773837183,50.9712625255634
"distance...141",175539.769799063,-53.2844263298434,50.8244051510506
"distance...142",220284.711404699,-52.928764313936,50.9646127890444
"distance...143",197440.422517412,-53.1086479689565,50.893940860002
"distance...144",197902.351805321,-53.0427750357822,50.9198778635117
"distance...145",210104.593282502,-52.9167675668858,50.9693085327761
"distance...146",209566.395765119,-52.898574847264,50.9764253283814
"distance...147",177774.446028029,-53.0974803950129,50.8983426681049
"distance...148",220531.654132802,-51.2634906143345,53.1943150618141
"distance...149",198491.578595163,-52.896371668982,50.9772868473905
"distance...150",217448.863297365,-51.2634906143345,53.1943150618141
"distance...151",213272.97875243,-51.2634906143345,53.1943150618141
"distance...152",194538.800334906,-52.8557251318885,50.9931678589395
"distance...153",195166.160382505,-52.8443851580456,50.9975940380773
"distance...154",303135.728456703,-57.3005388789981,59.3112032949558
"distance...155",298488.71697688,-57.3005388789981,59.3112032949558
"distance...156",319360.260232157,-57.1237382477894,58.8909592797079
"distance...157",295699.221765868,-57.3005388789981,59.3112032949558
"distance...158",295831.067345887,-57.3005388789981,59.3112032949558
"distance...159",297567.874551833,-57.3005388789981,59.3112032949558
"distance...160",287549.948100394,-57.3005388789981,59.3112032949558
"distance...161",287753.61013941,-57.3005388789981,59.3112032949558
"distance...162",292248.65261863,-57.3005388789981,59.3112032949558
"distance...163",279153.33743114,-57.3005388789981,59.3112032949558
"distance...164",276857.614448553,-57.3005388789981,59.3112032949558
"distance...165",283129.530579751,-57.3005388789981,59.3112032949558
"distance...166",281549.330796546,-57.3005388789981,59.3112032949558
"distance...167",285074.611597331,-57.211508376476,59.1010134977355
"distance...168",289637.923972622,-57.1237382477894,58.8909592797079
"distance...169",288998.390293606,-57.1237382477894,58.8909592797079
"distance...170",275197.640673336,-57.3005388789981,59.3112032949558
"distance...171",272064.797211947,-57.211508376476,59.1010134977355
"distance...172",277219.699726118,-57.211508376476,59.1010134977355
"distance...173",280315.523667929,-57.0372023203657,58.681043405113
"distance...174",260850.590611258,-57.3005388789981,59.3112032949558
"distance...175",259143.493322447,-57.3005388789981,59.3112032949558
"distance...176",256399.798751354,-57.3005388789981,59.3112032949558
"distance...177",271214.398205559,-57.0372023203657,58.681043405113
"distance...178",255364.896771556,-57.211508376476,59.1010134977355
"distance...179",250783.312090912,-57.3005388789981,59.3112032949558
"distance...180",260921.658789118,-57.1237382477894,58.8909592797079
"distance...181",252138.853646168,-57.211508376476,59.1010134977355
"distance...182",264363.426245248,-57.1237382477894,58.8909592797079
"distance...183",246856.621220171,-57.3005388789981,59.3112032949558
"distance...184",246368.163249213,-57.3005388789981,59.3112032949558
"distance...185",246728.36759888,-57.3005388789981,59.3112032949558
"distance...186",261581.618235554,-57.1237382477894,58.8909592797079
"distance...187",246696.535168976,-57.3005388789981,59.3112032949558
"distance...188",251195.041018193,-57.211508376476,59.1010134977355
"distance...189",264099.35163767,-57.0372023203657,58.681043405113
"distance...190",256550.172371068,-57.0372023203657,58.681043405113
"distance...191",270328.356158421,-56.8677318975661,58.2616374867023
"distance...192",237470.937338832,-57.211508376476,59.1010134977355
"distance...193",264870.755582839,-56.8677318975661,58.2616374867023
"distance...194",267579.160613612,-56.8677318975661,58.2616374867023
"distance...195",240319.819096378,-57.211508376476,59.1010134977355
"distance...196",241306.735288065,-57.1237382477894,58.8909592797079
"distance...197",250885.538746345,-57.0372023203657,58.681043405113
"distance...198",245216.502242595,-57.1237382477894,58.8909592797079
